City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,cambria,35.5641,-121.0808,21.170000000000016,52,1,1.41,US,1724774594
170,aasiaat,68.7098,-52.8699,2.240000000000009,98,100,3.39,GL,1724774595
171,east london,-33.0153,27.9116,20.52000000000004,83,0,2.57,ZA,1724774597
172,hawaiian paradise park,19.5933,-154.9731,22.160000000000025,98,100,2.06,US,1724774598
173,bijni,26.4959,90.703,27.77000000000004,79,36,2.93,IN,1724774599
174,whitehorse,60.7161,-135.0538,7.28000000000003,76,75,4.12,CA,1724774600
175,mount isa,-20.7333,139.5,14.870000000000005,55,0,1.54,AU,1724774601
176,kinna,57.5073,12.6946,18.850000000000023,67,98,3.02,SE,1724774602
177,piracicaba,-22.7253,-47.6492,24.060000000000002,17,0,3.18,BR,1724774484
178,touros,-5.1989,-35.4608,28.850000000000023,55,61,8.14,BR,1724774605
179,kabare,-2.4683,28.8242,22.05000000000001,55,84,1.85,CD,1724774606
180,saldanha,-33.0117,17.9442,13.03000000000003,70,90,12.74,ZA,1724774607
181,gadzhiyevo,69.2551,33.3362,14.590000000000032,57,92,11.53,RU,1724774608
182,codrington,-38.2667,141.9667,12.300000000000011,83,92,11.84,AU,1724774609
183,san clemente del tuyu,-36.3569,-56.7235,11.870000000000005,68,21,3.25,AR,1724774610
184,santa cruz,-17.8,-63.1667,22.700000000000045,33,0,4.12,BO,1724774034
185,ust-nera,64.5667,143.2,4.510000000000048,96,100,1.23,RU,1724774612
186,nova sintra,14.8667,-24.7167,27.370000000000005,74,100,2.3,CV,1724774613
187,okhotsk,59.3833,143.3,11.870000000000005,94,47,3.04,RU,1724774614
188,sirohi,24.8833,72.8667,24.090000000000032,90,100,5.19,IN,1724774615
189,matoury,4.8483,-52.3317,33.98000000000002,55,40,2.57,GF,1724774616
190,chinde,26.8212,87.7095,25.200000000000045,88,58,0.76,NP,1724774617
191,acapulco de juarez,16.8634,-99.8901,27.29000000000002,71,74,0.9,MX,1724774403
192,nowshahr,36.649,51.496,27.970000000000027,74,20,1.03,IR,1724774619
193,ocean shores,46.9737,-124.1563,16.120000000000005,86,75,1.54,US,1724774323
194,gargalianoi,37.0667,21.6333,26.05000000000001,63,11,1.83,GR,1724774621
195,mahibadhoo,3.7833,72.9667,28.400000000000034,72,88,2.26,MV,1724774622
196,yeed,4.55,43.0333,30.74000000000001,46,98,9.51,SO,1724774623
197,bandar lampung,-5.4254,105.258,22.710000000000036,89,59,2.24,ID,1724774624
198,kuta,-8.7233,115.1723,23.970000000000027,100,40,1.54,ID,1724774625
199,bocas del toro,9.3333,-82.25,28.210000000000036,71,70,0.96,PA,1724774587
200,jamestown,42.097,-79.2353,29.450000000000045,64,75,3.09,US,1724774523
201,pradera,3.4211,-76.2447,28.379999999999995,49,31,2.04,CO,1724774628
202,condom,43.9167,0.3333,33.24000000000001,27,3,1.98,FR,1724774629
203,quibala,-10.7337,14.98,29.04000000000002,22,2,4.37,AO,1724774630
204,college,64.8569,-147.8028,11.610000000000014,81,96,1.34,US,1724774631
205,fale old settlement,-9.3852,-171.2468,27.420000000000016,77,13,4.13,TK,1724774632
206,okha,53.5739,142.9478,12.430000000000007,93,1,3.24,RU,1724774633
207,vorkuta,67.5,64.0,16.060000000000002,59,100,2.86,RU,1724774635
208,urangan,-25.3,152.9,20.420000000000016,88,1,2.95,AU,1724774636
209,bondo,3.8146,23.6866,27.189999999999998,64,69,1.57,CD,1724774637
210,fu'an,27.0892,119.6453,26.010000000000048,92,35,1.09,CN,1724774638
211,shiyan,32.6475,110.7781,23.75,80,48,2.52,CN,1724774639
212,fort mcmurray,56.7268,-111.381,16.77000000000004,63,100,7.2,CA,1724774640
213,vilyuysk,63.7553,121.6247,6.920000000000016,60,100,2.21,RU,1724774641
214,minas de marcona,-15.2119,-75.1103,15.79000000000002,60,46,6.37,PE,1724774607
215,kashmar,35.2383,58.4656,32.56,15,61,0.38,IR,1724774643
216,calvinia,-31.4707,19.776,7.230000000000018,93,100,12.4,ZA,1724774644
217,marquard,-28.6645,27.4305,19.100000000000023,12,0,4.33,ZA,1724774645
218,adzope,6.1069,-3.8619,23.430000000000007,93,100,2.78,CI,1724774646
219,labrador city,52.9463,-66.9114,20.950000000000045,73,100,7.72,CA,1724774648
220,ust'-kulom,61.6864,53.6902,18.360000000000014,82,57,2.16,RU,1724774649
221,heihe,50.2441,127.4902,15.32000000000005,65,51,2.41,CN,1724774650
222,whakatane,-37.9585,176.9854,10.410000000000025,93,93,2.54,NZ,1724774651
223,panacan,9.2463,118.4082,26.670000000000016,85,100,1.81,PH,1724774652
224,zaozersk,69.4005,32.4476,14.010000000000048,57,87,12.61,RU,1724774653
225,weno,7.4515,151.8468,28.52000000000004,77,85,3.83,FM,1724774654
226,anton lizardo,19.05,-95.9833,25.680000000000007,86,100,3.49,MX,1724774655
227,benguela,-12.5763,13.4055,22.340000000000032,77,29,3.08,AO,1724774656
228,andovoranto,-18.95,49.1,20.75,74,12,2.83,MG,1724774657
229,aqadyr,48.2553,72.8483,16.370000000000005,48,87,7.05,KZ,1724774658
230,cheney,47.4874,-117.5758,17.430000000000007,57,75,7.72,US,1724774659
231,laguna,38.421,-121.4238,24.08000000000004,55,0,0.0,US,1724774660
232,jabor,5.921,169.6434,29.100000000000023,74,93,6.3,MH,1724774661
233,happy valley-goose bay,53.3168,-60.3315,28.170000000000016,39,75,7.2,CA,1724774662
234,safotu,-13.4513,-172.4018,26.560000000000002,79,61,2.48,WS,1724774663
235,port-vila,-17.7338,168.3219,15.78000000000003,100,20,0.51,VU,1724774664
236,aksu,41.1231,80.2644,23.510000000000048,48,19,2.12,CN,1724774665
237,san luis de la loma,17.2706,-100.8939,29.74000000000001,70,84,1.34,MX,1724774666
238,tanabe,33.7333,135.3667,25.100000000000023,90,89,2.77,JP,1724774667
239,santo domingo,18.5001,-69.9886,31.80000000000001,66,40,2.57,DO,1724774170
240,lewiston orchards,46.3804,-116.9754,23.400000000000034,44,0,1.54,US,1724774669
241,lensk,60.7253,114.9278,11.090000000000032,95,41,1.27,RU,1724774670
242,bodo,67.28,14.405,12.189999999999998,77,75,14.4,NO,1724774671
243,sisimiut,66.9395,-53.6735,7.770000000000039,76,100,0.65,GL,1724774672
244,margate,51.3813,1.3862,25.49000000000001,57,100,0.45,GB,1724774449
245,aflou,34.1128,2.1023,30.360000000000014,21,67,2.55,DZ,1724774674
246,hermanus,-34.4187,19.2345,8.78000000000003,75,100,16.74,ZA,1724774675
247,umluj,25.0213,37.2685,32.01000000000005,65,1,2.89,SA,1724774451
248,sault ste. marie,46.5168,-84.3333,24.160000000000025,88,75,2.57,CA,1724774659
249,salinopolis,-0.6136,-47.3561,28.689999999999998,75,26,5.42,BR,1724774679
250,east ballina,-28.8667,153.5833,19.07000000000005,87,0,2.64,AU,1724774680
251,malango,-2.9627,119.9001,18.27000000000004,100,37,0.72,ID,1724774681
252,tarija,-21.5355,-64.7296,13.950000000000045,41,75,2.06,BO,1724774682
253,san antonio de pale,-1.4014,5.6325,23.480000000000018,81,65,5.78,GQ,1724774450
254,mejit,10.2753,170.8646,28.5,79,89,6.67,MH,1724774684
255,tarawa,1.419,172.984,28.05000000000001,83,40,3.09,KI,1724774685
256,motueka,-41.1333,173.0167,10.610000000000014,94,100,1.82,NZ,1724774686
257,tshabong,-26.05,22.45,25.05000000000001,8,0,6.19,BW,1724774687
258,stornoway,58.2093,-6.3865,14.980000000000018,84,75,4.63,GB,1724774688
259,plettenberg bay,-34.0527,23.3716,15.180000000000007,65,77,11.9,ZA,1724774689
260,cacequi,-29.8836,-54.825,16.180000000000007,60,9,3.68,BR,1724774690
261,liezen,47.5667,14.2333,22.379999999999995,74,100,1.16,AT,1724774533
262,luderitz,-26.6481,15.1594,15.960000000000036,71,0,8.76,NA,1724774692
263,illizi,26.4833,8.4667,39.79000000000002,10,1,3.34,DZ,1724774693
264,sombrio,-29.1139,-49.6167,16.939999999999998,56,24,2.35,BR,1724774694
265,praia da vitoria,38.7333,-27.0667,26.140000000000043,65,20,5.25,PT,1724774695
266,mount gambier,-37.8333,140.7667,12.050000000000011,78,100,8.81,AU,1724774696
267,kill devil hills,36.0307,-75.676,28.010000000000048,73,0,1.54,US,1724774697
268,lavelanet,42.9313,1.8466,31.700000000000045,32,4,0.89,FR,1724774698
269,neya,58.2972,43.8681,22.78000000000003,72,14,2.21,RU,1724774699
270,saipan,15.1355,145.701,28.390000000000043,89,40,2.57,MP,1724774700
271,cockburn town,21.4612,-71.1419,28.650000000000034,75,10,6.15,TC,1724774701
272,new norfolk,-42.7826,147.0587,7.180000000000007,97,99,2.47,AU,1724774702
273,alo,6.5486,4.2686,25.970000000000027,83,90,5.28,NG,1724774703
274,preobrazheniye,42.9019,133.9064,17.439999999999998,89,21,2.79,RU,1724774704
275,lop buri,14.7981,100.654,28.920000000000016,72,78,2.99,TH,1724774533
276,chonchi,-42.6128,-73.8092,9.450000000000045,62,53,1.46,CL,1724774706
277,flying fish cove,-10.4217,105.6791,24.82000000000005,83,75,7.2,CX,1724774708
278,rawson,-43.3002,-65.1023,11.160000000000025,37,0,7.72,AR,1724774618
279,uribia,11.7139,-72.266,32.950000000000045,51,100,1.46,CO,1724774710
280,beaufort west,-32.3567,22.583,12.310000000000002,52,1,15.52,ZA,1724774502
281,hun,29.1268,15.9477,35.73000000000002,17,0,2.82,LY,1724774712
282,langzhong,31.5504,105.9938,29.83000000000004,63,59,1.3,CN,1724774713
283,bel ombre,-4.6167,55.4167,25.910000000000025,89,75,8.23,SC,1724774714
284,ancud,-41.8697,-73.8203,8.580000000000041,66,65,2.78,CL,1724774585
285,kodiak,57.79,-152.4072,12.730000000000018,76,0,5.14,US,1724774716
286,makubetsu,45.3714,141.8211,18.79000000000002,96,100,2.56,JP,1724774717
287,tonekabon,36.8163,50.8738,28.970000000000027,67,0,1.1,IR,1724774718
288,lebu,-37.6167,-73.65,10.189999999999998,63,67,5.38,CL,1724774719
289,anadyr,64.75,177.4833,3.2800000000000296,87,0,2.0,RU,1724774473
290,hadithah,34.1397,42.3781,38.44,19,0,4.15,IQ,1724774722
291,chaman,30.9236,66.4512,32.379999999999995,8,0,1.58,PK,1724774723
292,imperatriz,-5.5264,-47.4917,35.03000000000003,49,40,6.17,BR,1724774724
293,viveiro,43.6623,-7.5934,21.80000000000001,70,26,5.1,ES,1724774726
294,takaungu,-3.6837,39.8566,24.910000000000025,82,31,4.08,KE,1724774728
295,pimentel,-6.8367,-79.9342,19.160000000000025,77,100,2.57,PE,1724774608
296,kone,-21.0595,164.8658,17.890000000000043,85,30,2.4,NC,1724774730
297,kapa'a,22.0752,-159.319,25.180000000000007,79,40,6.17,US,1724774732
298,sambava,-14.2667,50.1667,21.350000000000023,74,44,2.79,MG,1724774733
299,prince rupert,54.3161,-130.3201,10.830000000000041,99,75,2.57,CA,1724774734
300,soio,-6.1349,12.3689,22.450000000000045,88,53,5.38,AO,1724774735
301,mirnyy,62.5353,113.9611,8.610000000000014,95,100,3.81,RU,1724774736
302,nookat,40.2671,72.6207,21.0,25,2,2.38,KG,1724774737
303,tanjung pandan,-2.75,107.65,25.600000000000023,86,21,2.17,ID,1724774739
304,aral,40.5156,81.2636,27.110000000000014,39,70,1.73,CN,1724774740
305,egilsstadir,65.2653,-14.3948,9.950000000000045,87,75,5.66,IS,1724774536
306,ataq,14.5377,46.8319,28.910000000000025,40,67,3.24,YE,1724774742
307,rabigh,22.7986,39.0349,33.29000000000002,53,4,3.36,SA,1724774743
308,kimberley,-28.7323,24.7623,25.83000000000004,10,0,8.75,ZA,1724774744
309,kaa-khem,51.6833,94.7333,18.230000000000018,36,100,2.37,RU,1724774745
310,lompoc,34.6391,-120.4579,13.230000000000018,100,100,1.54,US,1724774746
311,puerto baquerizo moreno,-0.9,-89.6,21.55000000000001,73,75,6.69,EC,1724774747
312,sungai raya,0.7,108.9,25.74000000000001,91,96,3.57,ID,1724774749
313,pandan,14.0453,124.1694,26.590000000000032,83,97,3.79,PH,1724774750
314,raduzhny,62.0961,77.475,17.340000000000032,64,78,2.87,RU,1724774751
315,nikolayevsk-on-amure,53.1406,140.73,12.560000000000002,90,2,0.33,RU,1724774753
316,zheshart,62.0731,49.5733,17.350000000000023,61,42,1.85,RU,1724774754
317,mo i rana,66.3128,14.1428,11.850000000000023,89,75,3.13,NO,1724774755
318,hamilton,39.1834,-84.5333,33.76000000000005,48,0,2.57,US,1724774756
319,dedougou,12.4667,-3.4667,27.04000000000002,80,98,4.85,BF,1724774531
320,puerto madero,14.7208,-92.4215,30.110000000000014,74,75,2.57,MX,1724774758
321,la ronge,55.1001,-105.2842,15.140000000000043,63,40,7.72,CA,1724774759
322,guerrero negro,27.9769,-114.0611,23.390000000000043,67,5,4.85,MX,1724774760
323,itoman,26.1247,127.6694,30.220000000000027,86,75,7.72,JP,1724774761
324,la'ie,21.6477,-157.9253,24.5,83,78,1.79,US,1724774762
325,mahebourg,-20.4081,57.7,21.160000000000025,73,40,8.23,MU,1724774763
326,ineu,46.4333,21.85,22.879999999999995,65,97,6.58,RO,1724774764
327,coquimbo,-29.9533,-71.3436,12.770000000000039,79,100,3.6,CL,1724774474
328,brigantine,39.4101,-74.3646,28.970000000000027,73,20,3.13,US,1724774766
329,ilam,26.9167,87.9167,22.82000000000005,92,73,0.78,NP,1724774703
330,paraiso,9.8383,-83.8656,23.930000000000007,75,95,1.39,CR,1724774769
331,miles city,46.4083,-105.8406,17.54000000000002,82,40,4.12,US,1724774770
